vOut (iLoad=1e-07) X,vOut (iLoad=1e-07) Y,vOut (iLoad=0.01) X,vOut (iLoad=0.01) Y,iQ (iLoad=1e-07) X,iQ (iLoad=1e-07) Y,iQ (iLoad=0.01) X,iQ (iLoad=0.01) Y,vCtrl (iLoad=1e-07) X,vCtrl (iLoad=1e-07) Y,vCtrl (iLoad=0.01) X,vCtrl (iLoad=0.01) Y
1.1,1.00013363000036,1.1,0.993787226792063,1.1,1.27565566941259E-05,1.1,9.61032614972901E-06,1.1,1.11148299339382,1.1,1.55339199191279
1.136842,1.00035521042247,1.136842,0.994638147770239,1.136842,1.31665997855612E-05,1.136842,1.05331550301882E-05,1.136842,1.1044348693049,1.136842,1.53999033867474
1.173684,1.00061112998793,1.173684,0.995143337590323,1.173684,1.35694700967389E-05,1.173684,1.10798104896909E-05,1.173684,1.09782279507432,1.173684,1.53013690524362
1.210526,1.00088733768203,1.210526,0.995586966319744,1.210526,1.39698600616703E-05,1.210526,1.15373121812777E-05,1.210526,1.09147945706826,1.210526,1.5215610682109
1.247368,1.00117719593411,1.247368,0.9959927257456,1.247368,1.43703035583227E-05,1.247368,1.19607710845636E-05,1.247368,1.08533509609449,1.247368,1.51365129920262
1.284211,1.00147913506351,1.284211,0.996377320321523,1.284211,1.47725051905423E-05,1.284211,1.23679463355769E-05,1.284211,1.07934954583086,1.284211,1.50619157003115
1.321053,1.00178813919721,1.321053,0.99674637274704,1.321053,1.51775793903812E-05,1.321053,1.27668276763911E-05,1.321053,1.0734913687448,1.321053,1.49906509735914
1.357895,1.00210380343042,1.357895,0.997100170067426,1.357895,1.55863541653866E-05,1.357895,1.31617175982119E-05,1.357895,1.06774122244364,1.357895,1.49219481004622
1.394737,1.0024283960857,1.394737,0.997441816264402,1.394737,1.59994191214004E-05,1.394737,1.35553068189358E-05,1.394737,1.06208868176965,1.394737,1.48553155969482
1.431579,1.00275520810545,1.431579,0.997774245855133,1.431579,1.64174076067152E-05,1.431579,1.39494083358134E-05,1.431579,1.05651089608136,1.431579,1.47904020675274
1.468421,1.00308503052077,1.468421,0.998102841756969,1.468421,1.68407125114731E-05,1.468421,1.43452801131488E-05,1.468421,1.05099800027176,1.468421,1.47269820048379
1.505263,1.00342464751544,1.505263,0.998419740406554,1.505263,1.72697179167626E-05,1.505263,1.47439881482489E-05,1.505263,1.04555666995669,1.505263,1.46647357635928
1.542105,1.00376740765047,1.542105,0.998732859450174,1.542105,1.77047343688183E-05,1.542105,1.51462279508787E-05,1.542105,1.0401673188699,1.542105,1.46035798489402
1.578947,1.00411320828705,1.578947,0.999030148016308,1.578947,1.81460800239926E-05,1.578947,1.55527266406303E-05,1.578947,1.03482316379847,1.578947,1.45432269121721
1.615789,1.00447225200586,1.615789,0.999315023107613,1.615789,1.85938284345597E-05,1.615789,1.5963806486936E-05,1.615789,1.0295360860309,1.615789,1.44836006374765
1.652632,1.00485722096494,1.652632,0.99961218954365,1.652632,1.90481351201224E-05,1.652632,1.6380063210914E-05,1.652632,1.02431880357751,1.652632,1.44248966812708
1.689474,1.00527154196118,1.689474,0.999904385828545,1.689474,1.95090627390352E-05,1.689474,1.68018243329437E-05,1.689474,1.01917003960276,1.689474,1.43668280398903
1.726316,1.00576222780683,1.726316,1.0001946481548,1.726316,1.99765069838757E-05,1.726316,1.72293814141808E-05,1.726316,1.01414591034747,1.726316,1.43093613774818
1.763158,1.00637560824256,1.763158,1.00048633690763,1.763158,2.04498386678751E-05,1.763158,1.76630612842329E-05,1.763158,1.00929394327695,1.763158,1.42524768505187
1.8,1.00730707161126,1.8,1.00077508834933,1.8,2.09274613920711E-05,1.8,1.81030900376306E-05,1.8,1.00484660003627,1.8,1.41960711376121
