/I1/PLUS (Design_Point=1) X,/I1/PLUS (Design_Point=1) Y,/NM0/S (Design_Point=1) X,/NM0/S (Design_Point=1) Y,/out (Design_Point=1) X,/out (Design_Point=1) Y
0,9.999999999999999e-06,0,-1.642275816965603e-09,0,0.999989001653282
2.5e-10,9.999999999999999e-06,2.5e-10,-1.094310393764706e-05,2.5e-10,0.9741029596893506
4.740207210297677e-10,9.999999999999999e-06,4.740207210297677e-10,-1.089812509648507e-05,4.740207210297677e-10,0.9511566956558102
5.002500004166667e-10,9.999999999999999e-06,5.002500004166667e-10,-1.089290105245275e-05,5.002500004166667e-10,0.9484805767371324
5.012171196977818e-10,9.999999999999999e-06,5.012171196977818e-10,-1.089271220139802e-05,5.012171196977818e-10,0.9483838576635
5.019077420845216e-10,9.999999999999999e-06,5.019077420845216e-10,-1.089257730838683e-05,5.019077420845216e-10,0.9483147500172581
5.029885232075665e-10,9.999999999999999e-06,5.029885232075665e-10,-1.089236596116624e-05,5.029885232075665e-10,0.9482064536594395
5.042325153299529e-10,9.999999999999999e-06,5.042325153299529e-10,-1.089212241399085e-05,5.042325153299529e-10,0.9480816053082209
5.059645012121368e-10,9.999999999999999e-06,5.059645012121368e-10,-1.089178303267411e-05,5.059645012121368e-10,0.9479075113775477
5.079065138861339e-10,9.999999999999999e-06,5.079065138861339e-10,-1.089140234082965e-05,5.079065138861339e-10,0.9477120397130078
5.098592079738476e-10,9.999999999999999e-06,5.098592079738476e-10,-1.089101962683357e-05,5.098592079738476e-10,0.9475153012854484
5.117600136016387e-10,9.999999999999999e-06,5.117600136016387e-10,-1.089064730510688e-05,5.117600136016387e-10,0.9473236720538156
5.137530280673864e-10,9.999999999999999e-06,5.137530280673864e-10,-1.089025726384375e-05,5.137530280673864e-10,0.9471226703611059
5.159508400763177e-10,9.999999999999999e-06,5.159508400763177e-10,-1.088982764916754e-05,5.159508400763177e-10,0.9469009631045202
5.184794770999775e-10,9.999999999999999e-06,5.184794770999775e-10,-1.088933502528217e-05,5.184794770999775e-10,0.9466462253946151
5.214926274761804e-10,9.999999999999999e-06,5.214926274761804e-10,-1.088874827529089e-05,5.214926274761804e-10,0.9463423513704385
5.251810379001812e-10,9.999999999999999e-06,5.251810379001812e-10,-1.088803163312083e-05,5.251810379001812e-10,0.9459703822182927
5.298218369802072e-10,9.999999999999999e-06,5.298218369802072e-10,-1.08871328454849e-05,5.298218369802072e-10,0.945502573296963
5.358740320554652e-10,9.999999999999999e-06,5.358740320554652e-10,-1.088596465165571e-05,5.358740320554652e-10,0.9448925216703533
5.442004578186716e-10,9.999999999999999e-06,5.442004578186716e-10,-1.088436536457847e-05,5.442004578186716e-10,0.9440536623328266
5.566792297148096e-10,9.999999999999999e-06,5.566792297148096e-10,-1.088198389771647e-05,5.566792297148096e-10,0.9427970809172741
5.784718909622124e-10,9.999999999999999e-06,5.784718909622124e-10,-1.087786636145404e-05,5.784718909622124e-10,0.9406046030532146
6.220572134570179e-10,9.999999999999999e-06,6.220572134570179e-10,-1.086977417664484e-05,6.220572134570179e-10,0.9362272992997354
6.398504796967387e-10,9.999999999999999e-06,6.398504796967387e-10,-1.086652221151946e-05,6.398504796967387e-10,0.9344432744468829
6.64671487329458e-10,9.999999999999999e-06,6.64671487329458e-10,-1.086203246321279e-05,6.64671487329458e-10,0.93195746576969
6.766402115644526e-10,9.999999999999999e-06,6.766402115644526e-10,-1.085988669055066e-05,6.766402115644526e-10,0.9307599474570504
6.892174684946964e-10,9.999999999999999e-06,6.892174684946964e-10,-1.085764504169092e-05,6.892174684946964e-10,0.9295022293532693
7.004224944735344e-10,9.999999999999999e-06,7.004224944735344e-10,-1.085565929837554e-05,7.004224944735344e-10,0.928382134136029
7.089183410975566e-10,9.999999999999999e-06,7.089183410975566e-10,-1.085416038202235e-05,7.089183410975566e-10,0.9275328163058711
7.160591576288338e-10,9.999999999999999e-06,7.160591576288338e-10,-1.08529053720823e-05,7.160591576288338e-10,0.9268189833074272
7.225055034292731e-10,9.999999999999999e-06,7.225055034292731e-10,-1.085177516830585e-05,7.225055034292731e-10,0.9261741050670278
7.285667167043034e-10,9.999999999999999e-06,7.285667167043034e-10,-1.085071499569706e-05,7.285667167043034e-10,0.9255673704532565
7.345240568122384e-10,9.999999999999999e-06,7.345240568122384e-10,-1.084967425038759e-05,7.345240568122384e-10,0.9249702128136171
7.404047313851046e-10,9.999999999999999e-06,7.404047313851046e-10,-1.08486478286151e-05,7.404047313851046e-10,0.9243798489861438
7.462362020346743e-10,9.999999999999999e-06,7.462362020346743e-10,-1.084762970148107e-05,7.462362020346743e-10,0.9237930253953895
7.524667999410704e-10,9.999999999999999e-06,7.524667999410704e-10,-1.084654025168437e-05,7.524667999410704e-10,0.9231642505492038
7.592501174375084e-10,9.999999999999999e-06,7.592501174375084e-10,-1.084534986199084e-05,7.592501174375084e-10,0.9224767411350192
7.664528863867154e-10,9.999999999999999e-06,7.664528863867154e-10,-1.084407892763218e-05,7.664528863867154e-10,0.9217427700737175
