/I1/PLUS (Design_Point=1) X,/I1/PLUS (Design_Point=1) Y,/NM0/S (Design_Point=1) X,/NM0/S (Design_Point=1) Y,/out (Design_Point=1) X,/out (Design_Point=1) Y
0,1e-07,0,-1.641654557643722e-09,0,0.9999989016427607
5.002500004166667e-10,1e-07,5.002500004166667e-10,-1.090549435561513e-06,5.002500004166667e-10,0.9948309612344279
5.011654438241927e-10,1e-07,5.011654438241927e-10,-1.089652886019971e-06,5.011654438241927e-10,0.9948233300514764
5.018289990319605e-10,1e-07,5.018289990319605e-10,-1.08964141150057e-06,5.018289990319605e-10,0.9948177409590675
5.031561094474961e-10,1e-07,5.031561094474961e-10,-1.089618040385167e-06,5.031561094474961e-10,0.9948063599350606
5.044259056915559e-10,1e-07,5.044259056915559e-10,-1.089595239290866e-06,5.044259056915559e-10,0.9947952503020606
5.062434594742988e-10,1e-07,5.062434594742988e-10,-1.089562094543852e-06,5.062434594742988e-10,0.9947790696552171
5.082064628005579e-10,1e-07,5.082064628005579e-10,-1.089525890803807e-06,5.082064628005579e-10,0.994761333800477
5.101390320012526e-10,1e-07,5.101390320012526e-10,-1.089490046348094e-06,5.101390320012526e-10,0.9947436957429707
5.120459546220168e-10,1e-07,5.120459546220168e-10,-1.089454627450059e-06,5.120459546220168e-10,0.9947261809369005
5.140584565421244e-10,1e-07,5.140584565421244e-10,-1.089417299896647e-06,5.140584565421244e-10,0.9947076228933525
5.162926018714677e-10,1e-07,5.162926018714677e-10,-1.089376004786921e-06,5.162926018714677e-10,0.9946869689753629
5.188802607099187e-10,1e-07,5.188802607099187e-10,-1.0893284265072e-06,5.188802607099187e-10,0.9946630094974747
5.219788745115063e-10,1e-07,5.219788745115063e-10,-1.089271853197257e-06,5.219788745115063e-10,0.9946342936629439
5.257887077887775e-10,1e-07,5.257887077887775e-10,-1.089202912998684e-06,5.257887077887775e-10,0.9945989734084656
5.30605641477251e-10,1e-07,5.30605641477251e-10,-1.089116704288002e-06,5.30605641477251e-10,0.9945543166423608
5.369289606209918e-10,1e-07,5.369289606209918e-10,-1.089005047382539e-06,5.369289606209918e-10,0.9944957118088157
5.457163012278397e-10,1e-07,5.457163012278397e-10,-1.088852428540732e-06,5.457163012278397e-10,0.9944143150521748
5.591087879155922e-10,1e-07,5.591087879155922e-10,-1.088624614767232e-06,5.591087879155922e-10,0.9942903694571248
5.832983979748623e-10,1e-07,5.832983979748623e-10,-1.088224254757823e-06,5.832983979748623e-10,0.9940668448031108
6.316776180934024e-10,1e-07,6.316776180934024e-10,-1.087450904045939e-06,6.316776180934024e-10,0.9936214529033668
